index,x_mm,y_mm,z_mm
298,61.57049,-13.31864,4.24200
299,42.98844,-11.09988,4.39800
300,36.05484,-8.88113,4.24200
301,29.95327,-8.04910,4.39800
302,57.13298,-6.66238,4.24200
303,58.24236,-5.55300,4.24200
304,40.49234,-4.44363,4.24200
305,58.79705,-4.16628,4.39800
306,46.87126,-1.67019,4.39800
307,57.13298,-35.22881,4.71000
308,29.39858,-33.56475,4.71000
309,65.45330,-32.73272,4.55400
310,39.93766,-31.34599,4.71000
311,36.88687,-28.84990,4.71000
312,27.73452,-27.46318,4.71000
313,28.84390,-25.52177,4.55400
314,52.14079,-24.96708,4.55400
315,61.01580,-24.41240,4.55400
316,62.67986,-22.74833,4.55400
317,23.29702,-19.69755,4.71000
318,31.33999,-15.53739,4.71000
319,58.24236,-14.98270,4.55400
320,33.83609,-14.15067,4.71000
321,61.84783,-12.20926,4.71000
322,55.46892,-9.43582,4.55400
323,25.51577,-8.60379,4.71000
324,33.55875,-7.21707,4.71000
325,33.83609,-5.83035,4.71000
326,46.87126,-4.44363,4.71000
327,47.70329,-3.61160,4.71000
328,52.41814,-2.22488,4.71000
329,50.47673,-0.28347,4.71000
330,54.91423,-34.67412,5.02200
331,48.25798,-33.56475,5.02200
332,23.57436,-31.06865,5.02200
333,43.82047,-29.68193,5.02200
334,65.45330,-28.29521,4.86600
335,28.28921,-26.63115,4.86600
336,48.81266,-24.96708,4.86600
337,36.05484,-24.13505,5.02200
338,58.24236,-23.58036,5.02200
339,56.57830,-22.19364,4.86600
340,29.67593,-20.52958,5.02200
341,23.01967,-17.75614,5.02200
342,60.46111,-16.64676,4.86600
343,61.01580,-16.09208,4.86600
344,52.69548,-14.98270,4.86600
345,45.48454,-12.76395,4.86600
346,53.25017,-9.99051,4.86600
347,51.58611,-8.88113,4.86600
348,52.14079,-8.04910,5.02200
349,60.73846,-6.10769,5.02200
350,55.46892,-4.44363,4.86600
351,44.37516,-3.05691,5.02200
352,54.91423,-0.56081,4.86600
353,54.35954,-35.22881,5.33400
354,64.06658,-33.84209,5.33400
355,65.45330,-33.01006,5.33400
356,21.91030,-29.40459,5.33400
357,20.80092,-28.29521,5.33400
358,65.73064,-27.18583,5.33400
359,28.56655,-24.96708,5.33400
360,36.05484,-23.30302,5.17800
361,29.39858,-22.47099,5.33400
362,58.79705,-21.63896,5.17800
363,53.25017,-20.52958,5.17800
364,23.01967,-19.42020,5.33400
365,58.79705,-18.86552,5.17800
366,49.36735,-18.03348,5.33400
367,53.25017,-17.20145,5.17800
368,22.18764,-15.81473,5.33400
369,61.84783,-13.87332,5.33400
370,61.84783,-11.65457,5.33400
371,60.18377,-9.43582,5.33400
372,54.63689,-8.32644,5.33400
373,33.83609,-6.93972,5.33400
374,60.73846,-5.55300,5.33400
375,58.24236,-4.16628,5.33400
376,55.19157,-2.22488,5.33400
377,53.80486,0.27122,5.33400
378,39.66031,-34.39678,5.64600
379,46.03922,-33.56475,5.64600
380,23.01967,-30.51396,5.64600
381,21.35561,-28.84990,5.64600
382,45.48454,-28.01787,5.64600
383,19.96889,-25.52177,5.49000
384,47.70329,-24.41240,5.49000
385,65.73064,-22.74833,5.64600
386,21.35561,-20.52958,5.64600
387,50.47673,-19.42020,5.49000
388,36.88687,-17.75614,5.64600
389,46.59391,-16.09208,5.49000
390,38.27359,-13.87332,5.49000
391,35.50015,-12.20926,5.49000
392,60.18377,-9.99051,5.64600
393,53.80486,-8.32644,5.49000
394,53.25017,-6.66238,5.49000
395,52.97282,-5.55300,5.64600
396,42.71110,-3.61160,5.64600
397,54.91423,-1.67019,5.49000
398,55.19157,-35.50616,5.95800
399,33.28140,-34.11943,5.95800
400,46.59391,-33.56475,5.95800
401,67.67206,-31.90068,5.95800
402,41.32438,-29.40459,5.95800
403,20.52358,-28.01787,5.95800
404,46.59391,-26.63115,5.80200
405,28.28921,-25.24443,5.95800
406,36.88687,-23.85771,5.95800
407,36.88687,-22.19364,5.95800
408,63.51189,-20.52958,5.95800
409,31.61734,-18.03348,5.95800
410,44.92985,-16.09208,5.80200
411,23.01967,-13.87332,5.95800
412,62.40252,-11.65457,5.95800
413,37.44156,-9.43582,5.95800
414,53.80486,-8.60379,5.95800
415,54.63689,-7.21707,5.95800
416,39.38297,-5.83035,5.95800
417,41.60172,-3.61160,5.95800
418,54.91423,-1.94753,5.95800
419,56.57830,-35.78350,6.27000
420,51.58611,-34.39678,6.11400
421,59.90643,-33.56475,6.27000
422,23.29702,-31.06865,6.11400
423,64.62127,-29.40459,6.27000
424,66.56268,-27.74052,6.11400
425,29.95327,-26.35380,6.27000
426,62.95721,-24.96708,6.27000
427,24.40639,-23.58036,6.27000
428,30.78531,-21.63896,6.27000
429,31.06265,-19.42020,6.11400
430,44.37516,-17.75614,6.11400
431,62.40252,-15.53739,6.27000
432,55.19157,-13.87332,6.27000
433,56.02361,-11.65457,6.11400
434,56.57830,-9.99051,6.11400
435,32.17202,-8.60379,6.27000
436,40.49234,-7.49441,6.27000
437,60.73846,-5.55300,6.27000
438,55.46892,-3.33425,6.11400
439,62.95721,-2.22488,6.27000
440,56.02361,0.82591,6.27000
441,52.69548,-35.22881,6.58200
442,50.47673,-34.67412,6.58200
443,62.67986,-33.01006,6.58200
444,22.74233,-30.79131,6.58200
445,63.78924,-29.40459,6.42600
